dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,40,-0.0011355640306671,0.2523918770308815,0.0637016595911716,-0.7300253,0.84721947,-0.013184547,0.2523944315884156,1.57724477,3.356728057224245,0.1593812920868979,-0.50373428562223,-0.18799973,0.17823315,0.36623288,0.3231241596791854,0.1516422965818352,0.8654816600446871,0.003575301309965,68584336.8910974,2090.2211657654943,115521.19212746786,0.1008167743508472,32812,0.0,3125.0,1.57724477,0.008831148295696289,False
AGR.361,41,-0.0011305726717429,0.2315315592730266,0.053606862939399,-0.69291353,0.7378378,-0.0034179688,0.2315343195596824,1.43075133,3.186731890992117,0.084864984116025,-0.5510706468215951,-0.17725706,0.16944408,0.3467011399999999,0.2965804086145131,0.1387626221264669,0.7611792527437145,0.0013784076884005,57719508.64009995,1759.043935028798,91487.24591705854,0.1008746533386158,32813,0.0,3125.0,1.43075133,0.00453460823741332,False
AGR.361,42,-0.0011265739114881,0.2480606348266165,0.061534078550584,-0.7612772,0.8032713,-0.01416111,0.2480631929959825,1.5645485,3.2381720572830384,0.1433549743439544,-0.4429456788707315,-0.18213987,0.1743269,0.35646677,0.3182781338562448,0.1475413686997754,0.8177317620087781,0.0017221127957662,66250637.977213226,2019.097829367708,79743.04151602002,0.1007862976959649,32812,0.0,3125.0,1.5645485,0.005413437514956791,False
AGR.361,43,-0.0011187582865541,0.2215257833245069,0.0490736726775363,-0.68998337,0.7837391,-0.012207985,0.221528608305203,1.47372247,3.537868566935751,0.1656279303677392,-0.430122918670428,-0.16651392,0.15577126,0.32228518,0.2829460954853781,0.1344994573400049,0.7889945457520023,0.0015500552554013,52838625.94547635,1610.2954909784644,79048.13339265452,0.1008137018864474,32813,0.0,3125.0,1.47372247,0.016178585610187618,False
AGR.361,44,-0.0011682097416328,0.0058892249057335,3.468296999031199e-05,-0.021974087,0.028810501,-0.0014648438,0.0060039723509321,0.050784588,4.798573230525772,0.0581673399243957,-1.1115494769814338,-0.006348133,0.0043945312,0.0107426642,0.0081406438836942,0.0021120064251658,0.0290445381691111,0.0004887839634679,38812.28790158298,1.1828326547887418,128.42144957749923,0.0009752232346935,32813,0.0,3125.0,0.050784588,0.35924576897581895,True
AGR.361,45,-0.0011355640306671,0.2523918770308815,0.0637016595911716,-0.7300253,0.84721947,-0.013184547,0.2523944315884156,1.57724477,3.356728057224245,0.1593812920868979,-0.50373428562223,-0.18799973,0.17823315,0.36623288,0.3231241596791854,0.1516422965818352,0.8654816600446871,0.003575301309965,68584336.8910974,2090.2211657654943,115521.19212746786,0.1008167743508472,32812,0.0,3125.0,1.57724477,0.008831148295696289,False
AGR.361,46,-0.001124819989679,0.2344646535166606,0.0549736737486877,-0.7036562,0.77299595,-0.0034179688,0.2344673516050729,1.47665215,3.296816996943789,0.0720203807505855,-0.6623239786464818,-0.18409348,0.17823315,0.36232663,0.3010883520974651,0.1389043445801203,0.7947442027073803,0.0023038724258993,59187522.528430216,1803.8376974408816,88285.7986775113,0.1008777276606119,32812,0.0,3125.0,1.47665215,0.00379777974143726,False
AGR.361,47,-0.0011249983050271,0.2231503826129897,0.0497960932603237,-0.7280717,0.7544403,-0.0087895395,0.223153218398279,1.4825119999999998,3.380817473371552,0.1324574678406814,-0.4776083245155633,-0.16846752,0.15870094,0.32716846,0.2845268657796868,0.1365207478458183,0.7675600582750455,0.0036800909610181,53613198.23081494,1633.9509396201067,76612.28355288877,0.1007558210410825,32812,0.0,3125.0,1.4825119999999998,0.010480832250461267,False
AGR.361,48,-0.0011301457348195,0.2523162454918206,0.0636634877390886,-0.77690315,0.84526634,-0.009277821,0.2523187764881373,1.62216949,3.34999381244915,0.0896395245396877,-0.5993629352641205,-0.19288301,0.18702316,0.37990617,0.3246763692461621,0.1480321167042116,0.8524951826260054,0.0038742627583292,68543226.81438872,2088.9682681454565,88796.27305416974,0.1008777276606119,32812,0.0,3125.0,1.62216949,0.0072982294822440275,False
AGR.361,49,-0.0011618844932709,0.2043995505478709,0.0417791762641716,-0.6099005,0.6860771,-0.013184547,0.2044028528170469,1.2959776,3.3564947384275543,0.2372534841727124,-0.4717285455153033,-0.15577126,0.14112186,0.29689312,0.2624136859203795,0.1212384425238111,0.7054619038049692,0.0018883690188355,44984798.843456,1370.9444075048305,52751.4505586569,0.1007527504342791,32813,0.0,3125.0,1.2959776,0.021489639437474214,False
