dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd
BSK.362,27,0.27032155,2.0365014,0.0027252558,-0.155477,-200.52286
BSK.362,28,0.26498389,2.0661902,-0.031576212,-0.11278438,389.94562
BSK.362,29,0.26090304,2.3111276,-0.014585225,-0.036201945,190.52181
BSK.362,30,0.25554167,2.0671186,-0.01114668,-0.05629619,
BSK.362,31,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,32,0.25337995,2.2211313,-0.047617306,-0.042933067,185.4733
BSK.362,33,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,34,0.27740069,2.1005187,0.020168761,-0.2008259,-207.52364
BSK.362,35,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,36,0.25659948,2.0587683,-0.066146114,-0.033930351,93.748393
BSK.362,37,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,38,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,39,0.26421788,2.2016478,-0.016597667,-0.16010255,196.47176
BSK.362,40,0.2546514,2.0374293,-0.015257069,-0.076403179,720970.83
BSK.362,41,0.28183822,2.2999945,0.044752753,-0.18586762,-140.02784
BSK.362,42,0.26975093,2.1376309,-0.018315661,-0.14706833,-397.94035
BSK.362,43,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,44,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,45,0.27822031,2.1005182,0.027572262,-0.18398797,-103.74812
BSK.362,46,0.260163,2.0921688,-0.036060843,-0.06595762,127.33721
BSK.362,47,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,48,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,49,0.25953963,2.27216,0.010693831,-0.082914415,-191.52206
BSK.362,50,0.27032155,2.0365014,0.0027252558,-0.155477,-200.52286
BSK.362,51,0.2744645,2.0680466,0.027379644,-0.15526795,-203.52312
BSK.362,52,0.24595452,2.2146368,0.018417026,-0.038129528,-120.00319
BSK.362,53,0.26777413,2.0587683,-0.010523385,-0.13287314,397.94035
