dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
AGR.561,29,0.22920053,2.0921688,0.24379406,0.15700848,-27.250713,1.1791903252656257,False
AGR.561,30,0.22678525,1.9854722,0.18525164,0.050102701,-32.900296,0.6495715006647211,False
AGR.561,31,0.20102311,1.5995121,0.15429009,-0.042989083,-48.501258,0.1969534620660688,False
AGR.561,32,0.2286252,1.8750653,0.21053359,0.16321545,-29.637572,0.829771675532647,False
AGR.561,33,0.24683316,1.9511447,0.20501387,0.082497576,-29.750825,0.8495013617694143,False
AGR.561,34,0.28190164,2.4725628,0.18048445,0.048864645,-37.792008,1.505937963767252,False
AGR.561,35,0.23077708,1.9799061,0.18136141,0.11314197,-36.889922,0.7067321045059236,False
AGR.561,36,0.21142795,1.7507415,0.13287067,-0.0013440684,-44.00016,0.24707209278950173,False
AGR.561,37,0.22678138,1.8407378,0.19457625,0.056323083,-29.637572,0.5987148286690863,False
AGR.561,38,0.12762395,1.0409813,-0.081035449,-0.08935819,187.9733,0.7523028869605646,False
AGR.561,39,0.3064417,2.4855523,0.092566912,-0.027776628,-51.000918,1.5182999853533907,False
AGR.561,40,0.23658613,1.851871,0.1903867,0.026192842,-31.092231,0.6082033292839106,False
AGR.561,41,0.24308393,2.0532017,0.26731277,0.12510225,-23.333172,1.3392421543722086,False
AGR.561,42,0.20638191,1.6208515,0.20633643,0.04973751,-27.745469,0.47369941582046327,False
AGR.561,43,0.25405342,2.2907161,0.21418752,0.14482811,-28.000393,1.319875206807747,False
AGR.561,44,0.27258468,2.3807111,0.2096854,0.11690066,-38.900399,1.5033614622077276,False
AGR.561,45,0.22313409,1.920527,0.22683739,0.14272241,-26.584019,0.8973102216534367,False
AGR.561,46,0.23470518,2.0309348,0.13063867,0.076571617,-42.377066,0.5672635104044902,False
AGR.561,47,0.25796668,2.0977354,0.22294003,0.19829505,-36.700367,1.2999370971682154,False
AGR.561,48,0.22972789,1.96135,0.22882363,0.099250219,-30.181691,0.9132527651802986,False
AGR.561,49,0.27320059,2.3649393,0.10688265,0.020941237,-49.377388,1.0797063004452805,False
AGR.561,50,0.012864384,0.10947895,-0.0024174804,0.069699273,-18.006689,2.0683388758741055,False
AGR.561,51,0.25220581,2.034646,0.17734648,0.10066231,-40.001063,0.8413372096398705,False
AGR.561,52,0.24378449,2.1951537,0.18451795,0.14689927,-31.818034,1.015329684102642,False
AGR.561,53,0.24859404,2.164536,0.16581011,0.0764456,-40.001063,0.8617433760871753,False
AGR.561,54,0.281244,2.3436003,0.18094461,0.16387761,-33.750911,1.4543257969814622,False
AGR.561,55,0.26322396,2.1960807,0.16756664,0.13422821,-34.183249,1.0577008635009058,False
AGR.561,56,0.2305685,2.0374293,0.19835551,0.14466719,-33.100325,0.8629497867652851,False
AGR.561,57,0.27977629,2.4215346,0.1406833,0.050535385,-44.890102,1.2887563463571021,False
AGR.561,58,0.21308737,1.9771223,0.14573749,0.073125335,-51.168038,0.48258069676185916,False
AGR.561,59,0.22208071,1.8964048,0.2328632,0.13620908,-28.908973,0.9046033942326824,False
AGR.561,60,0.23929196,1.9567113,0.24219534,0.18517628,-34.10209,1.1625887765309877,False
AGR.561,61,0.29867896,2.3825669,0.16601919,0.14487987,-32.923536,1.5998465762180205,False
AGR.561,62,0.20782491,1.8054814,0.11125761,0.01114887,-60.397454,0.2349870352519395,False
AGR.561,63,0.22858755,1.9195995,0.16924576,0.058994033,-41.62435,0.5539658703357722,False
AGR.561,64,0.23663982,2.042068,0.18071979,0.16299478,-37.556589,0.8426959941307939,False
AGR.561,65,0.28815497,2.4669966,0.16104646,0.050455541,-37.818038,1.48382011713536,False
AGR.561,66,0.23872451,2.1413417,0.218949,0.18280571,-28.417434,1.1524302586599793,False
AGR.561,67,0.33083244,2.6655436,0.086363047,-0.076507545,-70.000169,2.0735575223872362,False
AGR.561,68,0.22021121,2.1125803,0.14941473,0.077605054,-35.334328,0.6359811332462681,False
AGR.561,69,0.21184286,1.8351708,0.22513919,0.14375157,-27.636281,0.7974553108956217,False
AGR.561,70,0.2455359,2.1413412,0.191574,0.15062609,-39.112184,1.0050904209592126,False
AGR.561,71,0.0031017045,0.026906013,-0.2772822,0.29186146,-4.0015424,5.487468156631272,True
AGR.561,72,0.2745988,2.4744182,0.14193828,0.074141657,-44.22089,1.340385535994192,False
AGR.561,73,0.20435395,1.656107,0.19367132,0.041495435,-42.288903,0.41903029956125454,False
AGR.561,74,0.26064854,2.0893855,0.15369393,0.25098506,-52.289712,1.0950526051665386,False
AGR.561,75,0.24502859,2.2044311,0.23663436,0.17615433,-23.199821,1.3441763881485125,False
AGR.561,76,0.24214339,2.090313,0.19476722,0.19378924,-38.22321,1.0198464411600827,False
AGR.561,77,0.20102311,1.5995121,0.15429009,-0.042989083,-48.501258,0.1969534620660688,False
AGR.561,78,0.21096011,2.1756702,0.2079564,0.10614438,-25.417347,0.93565759002827,False
AGR.561,79,0.22595818,1.8184705,0.24585818,0.17344254,-26.750738,1.011340040964852,False
AGR.561,80,0.26872395,2.3593727,0.12516505,0.12741751,-42.665385,1.1589750467502908,False
AGR.561,81,0.23302845,1.9854727,0.18587383,0.10636518,-37.334284,0.7330816372923092,False
AGR.561,82,0.23182909,1.9196,0.2469462,0.16951183,-27.750713,1.097024326653226,False
AGR.561,83,0.21271975,1.9362998,0.18168606,0.058425797,-30.700264,0.5602194846367762,False
AGR.561,84,0.22021121,2.1125803,0.14941473,0.077605054,-35.334328,0.6359811332462681,False
AGR.561,85,0.24753313,2.1450529,0.19415494,0.19629517,-35.300357,1.0992203685041078,False
AGR.561,86,0.25107999,1.988256,0.19617977,0.11109407,-32.910472,0.8929097879995535,False
AGR.561,87,0.24858664,2.3241167,0.19022165,0.10131506,-35.500426,1.1606340296531719,False
AGR.561,88,0.2259711,1.9669171,0.19386438,0.18294618,-32.300305,0.8244934854510904,False
AGR.561,89,0.26874667,2.2183481,0.2225525,0.15599449,-25.467368,1.4139238084732322,False
AGR.561,90,0.23423348,2.2211323,0.24039225,0.25840637,-30.181691,1.466905833587444,False
AGR.561,91,0.24461769,2.0049558,0.22713669,0.13512851,-29.249521,1.0556935352151613,False
AGR.561,92,0.19518914,1.5985837,0.11346435,-0.024050405,-56.803478,0.10783516052511925,False
AGR.561,93,0.28070842,2.2684494,0.12792507,0.10533013,-44.667895,1.1299538552589488,False
AGR.561,94,0.20986949,1.7062073,0.19210613,0.075371586,-38.124359,0.477034608999135,False
AGR.561,95,0.28376563,2.5337977,0.12443113,0.1370127,-40.700367,1.5287750615495757,False
AGR.561,96,0.27341289,2.4772014,0.14182973,0.1512496,-55.714408,1.4167033361736616,False
AGR.561,97,0.24846326,2.1311364,0.2013126,0.22113374,-35.300357,1.1702035400989461,False
AGR.561,98,0.23781114,2.0513463,0.24383674,0.19999325,-22.666483,1.2505626203874916,False
AGR.561,99,0.23014747,2.1348467,0.18339679,0.19564681,-32.900296,0.9543163594084877,False
BIS.361,0,0.10995592,0.81931877,0.0039621197,-0.28507328,-59.143734,0.5172153608365055,False
BIS.361,1,0.11533246,0.8503902,0.051356995,-0.30618915,-43.501434,0.3582425706706566,False
BIS.361,2,0.088056689,0.67136049,-0.064899956,-0.22917626,-83.261096,1.0717867123776723,False
BIS.361,3,0.11777901,0.81857896,0.06672188,-0.31440964,-49.337203,0.3366228076750622,False
BIS.361,4,0.10338202,0.80896187,0.15560862,-0.19870375,-23.800373,0.4182323217870141,False
BIS.361,5,0.10326354,0.83152532,-0.02663282,-0.26610458,-129.34337,0.6805948536422816,False
BIS.361,6,0.11292663,0.82745648,0.067950744,-0.27977082,-38.54772,0.33730578974256964,False
BIS.361,7,0.10208896,0.7434902,-0.030643547,-0.26105149,-76.802878,0.7386399392298952,False
BIS.361,8,0.084733981,0.63363123,-0.1582347,-0.25247511,498892.88,10.169958137654678,True
BIS.361,9,0.10411633,0.86518574,-0.029358645,-0.27049054,-78.413034,0.6786817347351115,False
BIS.361,10,0.11413528,0.84077262,0.019722948,-0.25570337,-85.60274,0.4131668652304641,False
BIS.361,11,0.1116288,0.80637241,0.027940398,-0.19530259,-51.877572,0.39713421837878393,False
BIS.361,12,0.10645705,0.80822182,-0.012214897,-0.27958536,-80.402988,0.6074376273844656,False
BIS.361,13,0.116722,0.80452299,0.034289127,-0.33400346,-63.149672,0.4168927770807018,False
BIS.361,14,0.10596078,0.81894898,-0.025551818,-0.26261944,-99.263237,0.6589570540914882,False
BIS.361,15,0.11644694,0.86000752,0.027715986,-0.28214827,-62.578168,0.38498007541211055,False
BIS.361,16,0.11136535,0.85815788,0.093243806,-0.28515301,-35.084215,0.32683837039515945,False
BIS.361,17,0.10778108,0.76827313,-0.0011473579,-0.27954269,-67.498122,0.5616877435202574,False
BIS.361,18,0.10966045,0.78121972,-0.0024388005,-0.28795688,-82.402768,0.5555050398755408,False
BIS.361,19,0.08421415,0.65841413,-0.16575168,-0.25566303,-322.0941,1.9704200764912212,False
BIS.361,20,0.10812138,0.86851502,-0.0197055,-0.1966506,-80.402988,0.5742748142841893,False
BIS.361,21,0.074959804,0.64065933,-0.12666479,-0.23807117,-94.694361,1.6873089380972843,False
BIS.361,22,0.12823936,0.87961173,0.14797484,-0.31574448,-28.23605,0.3041400003546225,False
BIS.361,23,0.11541081,0.83966303,0.032462707,-0.26762474,-61.715186,0.3761918145399965,False
BIS.361,24,0.094621108,0.7323935,-0.09649322,-0.31301829,-90.261723,1.2607499575777974,False
BIS.361,25,0.10851578,0.78121948,-0.041789422,-0.30957716,-68.505376,0.7714124615149083,False
BIS.361,26,0.11091256,0.8207984,0.01235011,-0.28510251,-59.435086,0.4810650069272735,False
BIS.361,27,0.12258061,0.85593866,0.061617803,-0.3279954,-41.999964,0.3167456450803429,False
BIS.361,28,0.12679519,0.87147404,0.10500858,-0.36696475,-39.91769,0.30461918737501564,False
BIS.361,29,0.12163186,0.85778807,0.060454077,-0.33496124,-41.820659,0.3294537956809521,False
BIS.361,30,0.090288338,0.69503378,-0.12840991,-0.26946743,-170.54984,1.547370418065943,False
BIS.361,31,0.097026625,0.72980404,0.0017788664,-0.29667821,-52.577071,0.6514562871845484,False
BIS.361,32,0.1099975,0.85852766,-0.027215656,-0.27287074,-82.402768,0.6313809374031668,False
BIS.361,33,0.12607116,0.81931877,0.10446777,-0.32637637,-33.930727,0.28181723189284663,False
BIS.361,34,0.10601786,0.81524993,-0.034170538,-0.27767865,-66.838636,0.7123429827824832,False
BIS.361,35,0.10532826,0.7960155,-0.038017454,-0.26916119,-132.01033,0.7400034461021494,False
BIS.361,36,0.12210307,0.87998176,0.060788465,-0.30155237,-45.901661,0.2923796181569431,False
BIS.361,37,0.11664844,0.8307855,0.061165291,-0.30397209,-39.820541,0.3386758518921137,False
BIS.361,38,0.1006838,0.75865579,0.054840097,-0.22026622,-31.417493,0.4354535246814927,False
BIS.361,39,0.083159429,0.66359282,-0.16295537,-0.26208845,488570.33,9.906817627639956,True
BIS.361,40,0.10053363,0.76272464,-0.05445847,-0.28160464,-126.67641,0.890280340857065,False
BIS.361,41,0.11448423,0.84151244,0.021174933,-0.29640782,-61.715186,0.4311470136611638,False
BIS.361,42,0.10583591,0.80230356,-0.045267396,-0.22615229,-79.213018,0.7538484634020741,False
BIS.361,43,0.10880609,0.77937031,0.020360343,-0.26663559,-58.286645,0.47043560315458155,False
BIS.361,44,0.11981721,0.8733237,0.060883029,-0.28894982,-50.000336,0.2976891578282388,False
BIS.361,45,0.10573522,0.82560706,-0.041842974,-0.25929944,-132.70528,0.7405578719156185,False
BIS.361,46,0.10117525,0.70982981,0.075096895,-0.32561982,-29.693648,0.47078725477514843,False
BIS.361,47,0.10565076,0.76013566,-0.027693028,-0.27860428,-79.602938,0.7016992027159503,False
BIS.361,48,0.11442684,0.84151243,0.044173536,-0.28468081,-47.778038,0.3649291947536667,False
BIS.361,49,0.10042822,0.76642393,-0.089006053,-0.29928906,-190.55562,1.131851665676886,False
BIS.361,50,0.12601314,0.8618567,0.086975948,-0.32834857,-39.584292,0.27563264316196556,False
BIS.361,51,0.10179119,0.76235485,-0.045557431,-0.22389776,-126.67641,0.8012114078996024,False
BIS.361,52,0.10381663,0.7386818,-0.015961312,-0.25952852,-65.171683,0.6522219260094462,False
BIS.361,53,0.12101762,0.85926747,0.073319361,-0.26975846,-37.750915,0.2682953974421752,False
BIS.361,54,0.12117623,0.87295364,0.049585447,-0.30949779,-65.149982,0.32361886287180314,False
BIS.361,55,0.092992222,0.6968832,-0.10120616,-0.22152774,-116.70102,1.2761199958872558,False
BIS.361,56,0.12127681,0.87221408,0.061332156,-0.29249345,-45.501621,0.29158518324004373,False
BIS.361,57,0.11006424,0.80378318,-0.015939721,-0.26940993,-59.143734,0.5943212903959403,False
BIS.361,58,0.10218243,0.76013541,-0.030312656,-0.26122324,-64.171683,0.7310953419674168,False
BIS.361,59,0.10508203,0.77197218,-0.017245521,-0.27233107,-79.213018,0.6462377187775401,False
BIS.361,60,0.12143787,0.84965038,0.068311463,-0.32025019,-45.701508,0.3097331774918153,False
BIS.361,61,0.11228072,0.84003304,0.026537746,-0.27422955,-60.286874,0.41530121085840754,False
BIS.361,62,0.11480871,0.84558153,0.011025901,-0.31388524,-86.802684,0.4738366240489893,False
BIS.361,63,0.11434132,0.83152532,0.032112892,-0.29266831,-47.555878,0.40203593724446424,False
BIS.361,64,0.12670781,0.8914485,0.11054217,-0.28287248,-36.463254,0.23307031965504751,False
